%%wl	rayleigh_cross_section_scattering	ozone_cross_section_absorption	aerosol_cross_section_scattering	aerosol_cross_section_absorption
380.1	2.06887e-36	3.6014e-33	2.70855e-17	9.74914e-17
380.2	2.06674e-36	3.5928e-33	2.70849e-17	9.75074e-17
380.3	2.06461e-36	3.5842e-33	2.70844e-17	9.75518e-17
380.4	2.06248e-36	3.5756e-33	2.70838e-17	9.75961e-17
380.5	2.06035e-36	3.567e-33	2.70832e-17	9.76404e-17
380.6	2.05822e-36	3.5584e-33	2.70827e-17	9.76847e-17
380.7	2.05609e-36	3.5498e-33	2.70821e-17	9.7729e-17
380.8	2.05396e-36	3.5412e-33	2.70815e-17	9.77733e-17
380.9	2.05183e-36	3.5326e-33	2.7081e-17	9.78177e-17
381	2.0497e-36	3.524e-33	2.70804e-17	9.7862e-17
381.1	2.04757e-36	3.5154e-33	2.70798e-17	9.7907e-17
381.2	2.04544e-36	3.5068e-33	2.70793e-17	9.79535e-17
381.3	2.04331e-36	3.4982e-33	2.70787e-17	9.80001e-17
381.4	2.04118e-36	3.4896e-33	2.70781e-17	9.80466e-17
381.5	2.03905e-36	3.481e-33	2.70775e-17	9.80932e-17
381.6	2.03692e-36	3.4724e-33	2.7077e-17	9.81397e-17
381.7	2.03479e-36	3.4638e-33	2.70764e-17	9.81863e-17
381.8	2.03266e-36	3.4552e-33	2.70758e-17	9.82328e-17
381.9	2.03053e-36	3.4466e-33	2.70752e-17	9.82794e-17
382	2.0284e-36	3.438e-33	2.70746e-17	9.83024e-17
382.1	2.02627e-36	3.4294e-33	2.70739e-17	9.83096e-17
382.2	2.02414e-36	3.4208e-33	2.70732e-17	9.83169e-17
382.3	2.02201e-36	3.4122e-33	2.70725e-17	9.83242e-17
382.4	2.01988e-36	3.4036e-33	2.70719e-17	9.83315e-17
382.5	2.01775e-36	3.395e-33	2.70712e-17	9.83387e-17
382.6	2.01562e-36	3.3864e-33	2.70705e-17	9.8346e-17
382.7	2.01349e-36	3.3778e-33	2.70698e-17	9.83533e-17
382.8	2.01136e-36	3.3692e-33	2.70691e-17	9.83605e-17
382.9	2.00923e-36	3.3606e-33	2.70685e-17	9.83606e-17
383	2.0071e-36	3.352e-33	2.70678e-17	9.8359e-17
383.1	2.00497e-36	3.3434e-33	2.70671e-17	9.83573e-17
383.2	2.00284e-36	3.3348e-33	2.70664e-17	9.83556e-17
383.3	2.00071e-36	3.3262e-33	2.70658e-17	9.83539e-17
383.4	1.99858e-36	3.3176e-33	2.70651e-17	9.83522e-17
383.5	1.99645e-36	3.309e-33	2.70644e-17	9.83505e-17
383.6	1.99432e-36	3.3004e-33	2.70637e-17	9.83488e-17
383.7	1.99219e-36	3.2918e-33	2.70631e-17	9.83472e-17
383.8	1.99006e-36	3.2832e-33	2.70625e-17	9.83609e-17
383.9	1.98793e-36	3.2746e-33	2.70619e-17	9.83764e-17
384	1.9858e-36	3.266e-33	2.70614e-17	9.83918e-17
384.1	1.98367e-36	3.2574e-33	2.70608e-17	9.84073e-17
384.2	1.98154e-36	3.2488e-33	2.70602e-17	9.84227e-17
384.3	1.97941e-36	3.2402e-33	2.70596e-17	9.84382e-17
384.4	1.97728e-36	3.2316e-33	2.70591e-17	9.84536e-17
384.5	1.97515e-36	3.223e-33	2.70585e-17	9.84691e-17
384.6	1.97302e-36	3.2144e-33	2.70579e-17	9.84851e-17
384.7	1.97089e-36	3.2058e-33	2.70573e-17	9.85062e-17
384.8	1.96876e-36	3.1972e-33	2.70566e-17	9.85274e-17
384.9	1.96663e-36	3.1886e-33	2.70559e-17	9.85485e-17
385	1.9645e-36	3.18e-33	2.70552e-17	9.85696e-17
385.1	1.96237e-36	3.1714e-33	2.70546e-17	9.85907e-17
385.2	1.96024e-36	3.1628e-33	2.70539e-17	9.86119e-17
385.3	1.95811e-36	3.1542e-33	2.70532e-17	9.8633e-17
385.4	1.95598e-36	3.1456e-33	2.70525e-17	9.86541e-17
385.5	1.95385e-36	3.137e-33	2.70518e-17	9.86725e-17
385.6	1.95172e-36	3.1284e-33	2.70511e-17	9.868e-17
385.7	1.94959e-36	3.1198e-33	2.70503e-17	9.86876e-17
385.8	1.94746e-36	3.1112e-33	2.70495e-17	9.86951e-17
385.9	1.94533e-36	3.1026e-33	2.70487e-17	9.87026e-17
386	1.9432e-36	3.094e-33	2.70479e-17	9.87101e-17
386.1	1.94107e-36	3.0854e-33	2.70471e-17	9.87177e-17
386.2	1.93894e-36	3.0768e-33	2.70463e-17	9.87252e-17
386.3	1.93681e-36	3.0682e-33	2.70456e-17	9.87327e-17
386.4	1.93468e-36	3.0596e-33	2.70448e-17	9.8731e-17
386.5	1.93255e-36	3.051e-33	2.70441e-17	9.87076e-17
386.6	1.93042e-36	3.0424e-33	2.70434e-17	9.86842e-17
386.7	1.92829e-36	3.0338e-33	2.70428e-17	9.86609e-17
386.8	1.92616e-36	3.0252e-33	2.70421e-17	9.86375e-17
386.9	1.92403e-36	3.0166e-33	2.70414e-17	9.86141e-17
387	1.9219e-36	3.008e-33	2.70408e-17	9.85908e-17
387.1	1.91977e-36	2.9994e-33	2.70401e-17	9.85674e-17
387.2	1.91764e-36	2.9908e-33	2.70394e-17	9.8544e-17
387.3	1.91551e-36	2.9822e-33	2.70387e-17	9.85252e-17
387.4	1.91338e-36	2.9736e-33	2.70379e-17	9.85133e-17
387.5	1.91125e-36	2.965e-33	2.70371e-17	9.85014e-17
387.6	1.90912e-36	2.9564e-33	2.70363e-17	9.84895e-17
387.7	1.90699e-36	2.9478e-33	2.70355e-17	9.84776e-17
387.8	1.90486e-36	2.9392e-33	2.70348e-17	9.84657e-17
387.9	1.90273e-36	2.9306e-33	2.7034e-17	9.84538e-17
388	1.9006e-36	2.922e-33	2.70332e-17	9.84419e-17
388.1	1.89847e-36	2.9134e-33	2.70324e-17	9.843e-17
388.2	1.89634e-36	2.9048e-33	2.70317e-17	9.84205e-17
388.3	1.89421e-36	2.8962e-33	2.7031e-17	9.84135e-17
388.4	1.89208e-36	2.8876e-33	2.70303e-17	9.84065e-17
388.5	1.88995e-36	2.879e-33	2.70297e-17	9.83995e-17
388.6	1.88782e-36	2.8704e-33	2.7029e-17	9.83925e-17
388.7	1.88569e-36	2.8618e-33	2.70283e-17	9.83855e-17
388.8	1.88356e-36	2.8532e-33	2.70277e-17	9.83785e-17
388.9	1.88143e-36	2.8446e-33	2.7027e-17	9.83715e-17
389	1.8793e-36	2.836e-33	2.70263e-17	9.83645e-17
389.1	1.87717e-36	2.8274e-33	2.70256e-17	9.83535e-17
389.2	1.87504e-36	2.8188e-33	2.70247e-17	9.83386e-17
389.3	1.87291e-36	2.8102e-33	2.70238e-17	9.83236e-17
389.4	1.87078e-36	2.8016e-33	2.70229e-17	9.83087e-17
389.5	1.86865e-36	2.793e-33	2.7022e-17	9.82938e-17
389.6	1.86652e-36	2.7844e-33	2.70211e-17	9.82788e-17
389.7	1.86439e-36	2.7758e-33	2.70202e-17	9.82639e-17
389.8	1.86226e-36	2.7672e-33	2.70193e-17	9.82489e-17
389.9	1.86013e-36	2.7586e-33	2.70184e-17	9.8234e-17
390	1.858e-36	2.75e-33	2.70175e-17	9.82078e-17
390.1	1.85615e-36	2.7414e-33	2.70168e-17	9.81741e-17
390.2	1.8543e-36	2.7328e-33	2.7016e-17	9.81405e-17
390.3	1.85245e-36	2.7242e-33	2.70152e-17	9.81068e-17
390.4	1.8506e-36	2.7156e-33	2.70144e-17	9.80731e-17
390.5	1.84875e-36	2.707e-33	2.70136e-17	9.80395e-17
390.6	1.8469e-36	2.6984e-33	2.70129e-17	9.80058e-17
390.7	1.84505e-36	2.6898e-33	2.70121e-17	9.79721e-17
390.8	1.8432e-36	2.6812e-33	2.70113e-17	9.79385e-17
390.9	1.84135e-36	2.6726e-33	2.70105e-17	9.79071e-17
391	1.8395e-36	2.664e-33	2.70098e-17	9.78772e-17
391.1	1.83765e-36	2.6554e-33	2.7009e-17	9.78473e-17
391.2	1.8358e-36	2.6468e-33	2.70082e-17	9.78174e-17
391.3	1.83395e-36	2.6382e-33	2.70074e-17	9.77875e-17
391.4	1.8321e-36	2.6296e-33	2.70066e-17	9.77576e-17
391.5	1.83025e-36	2.621e-33	2.70059e-17	9.77277e-17
391.6	1.8284e-36	2.6124e-33	2.70051e-17	9.76978e-17
391.7	1.82655e-36	2.6038e-33	2.70043e-17	9.7668e-17
391.8	1.8247e-36	2.5952e-33	2.70035e-17	9.76429e-17
391.9	1.82285e-36	2.5866e-33	2.70026e-17	9.76212e-17
392	1.821e-36	2.578e-33	2.70017e-17	9.75994e-17
392.1	1.81915e-36	2.5694e-33	2.70008e-17	9.75776e-17
392.2	1.8173e-36	2.5608e-33	2.69999e-17	9.75558e-17
392.3	1.81545e-36	2.5522e-33	2.6999e-17	9.7534e-17
392.4	1.8136e-36	2.5436e-33	2.69981e-17	9.75123e-17
392.5	1.81175e-36	2.535e-33	2.69972e-17	9.74905e-17
