%%z	rayleigh_scattering	aerosol_scattering	ozone_absorption	aerosol_absorption	extinction	rayleigh_density	ozone_density_1	ozone_density_2	ozone_density_3	ozone_density_4	ozone_density_5	ozone_density_6	ozone_density_7	ozone_density_8	ozone_density_9	ozone_density_10	ozone_density_11	ozone_density_12	aerosol_density
0.576172	0.0160572	0.47323	0.000737616	0.591681	1.08171	2.41244e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.39908e+15
0.585938	0.0160418	0.470925	0.000737616	0.588799	1.0765	2.41013e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.39227e+15
0.595703	0.0160264	0.468631	0.000737616	0.585931	1.07133	2.40782e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.38549e+15
0.605469	0.016011	0.466349	0.000737616	0.583077	1.06617	2.40551e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.37874e+15
0.615234	0.0159957	0.464077	0.000737616	0.580236	1.06105	2.40319e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.37202e+15
0.625	0.0159803	0.461817	0.000737616	0.57741	1.05594	2.40088e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.36534e+15
0.634766	0.0159648	0.459567	0.000737616	0.574598	1.05087	2.39856e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.35869e+15
0.644531	0.0159494	0.457329	0.000737616	0.571799	1.04581	2.39625e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.35207e+15
0.654297	0.015934	0.455101	0.000737616	0.569014	1.04079	2.39393e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.34549e+15
0.664062	0.0159186	0.452884	0.000737616	0.566242	1.03578	2.39161e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.33893e+15
0.673828	0.0159031	0.450678	0.000737616	0.563484	1.0308	2.38929e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.33241e+15
0.683594	0.0158877	0.448483	0.000737616	0.560739	1.02585	2.38697e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.32592e+15
0.693359	0.0158722	0.446299	0.000737616	0.558008	1.02092	2.38465e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.31946e+15
0.703125	0.0158568	0.444125	0.000737616	0.55529	1.01601	2.38233e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.31304e+15
0.712891	0.0158413	0.441961	0.000737616	0.552585	1.01113	2.38001e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.30664e+15
0.722656	0.0158259	0.439809	0.000737616	0.549893	1.00627	2.37768e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.30028e+15
0.732422	0.0158104	0.437666	0.000737616	0.547215	1.00143	2.37536e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.29394e+15
0.742188	0.0157949	0.435535	0.000737616	0.54455	0.996617	2.37303e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.28764e+15
0.751953	0.0157794	0.433413	0.000737616	0.541897	0.991827	2.3707e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.28137e+15
0.761719	0.0157639	0.431302	0.000737616	0.539258	0.987061	2.36838e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.27513e+15
0.771484	0.0157484	0.429201	0.000737616	0.536631	0.982318	2.36605e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.26891e+15
0.78125	0.0157329	0.42711	0.000737616	0.534017	0.977598	2.36371e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.26273e+15
0.791016	0.0157174	0.42503	0.000737616	0.531416	0.972901	2.36138e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.25658e+15
0.800781	0.0157018	0.42296	0.000737616	0.528827	0.968227	2.35905e+34	4.40194e+27	4.69371e+27	4.83326e+27	4.87131e+27	4.71909e+27	4.46537e+27	4.22434e+27	4.02137e+27	3.78034e+27	3.61543e+27	3.67886e+27	3.996e+27	1.25046e+15
